Date,등급,메인도달,메인확률%,메인목표%,메인컬러,메인강도,가능성태그,예상수익률,Code,Name,Market,Close,Amount,SuperScore,StrongScore,예상peak%,슈퍼위너확률%,100%+확률,50%+확률,30%+확률,10%+확률,손절확률%,p_sw_cal,p_100plus_cal,p_50plus_cal,p_30plus_cal,p_10plus_cal,p_loss_cal,Score,past_60,past_120,pos_252_high,slope60,기준일
2026-05-07,🔥 슈퍼 강력매수,💯 100%+ (2배),58.9,100,#DC2626,★★★ 도달 매우 유력,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+107% (대박),001740,SK네트웍스,KOSPI,6760.0,22122904440.0,3.74,2.7,106.8,36.8,58.9,71.6,81.0,90.1,0.0,0.368421052631579,0.5892351274787535,0.7157622739018088,0.8095975232198143,0.900633879744905,0.0,42.85,28.517110266159705,42.46575342465753,-10.106382978723405,0.1643735728529382,2026-05-07
2026-05-21,🔥 슈퍼 강력매수,💯 100%+ (2배),58.8,100,#DC2626,★★★ 도달 매우 유력,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능,+109% (대박),018880,한온시스템,KOSPI,4835.0,100922042875.0,3.69,2.66,109.1,36.8,58.8,67.4,81.0,89.1,0.0,0.368421052631579,0.5879413825698795,0.6736842105263158,0.8095975232198143,0.8910411622276029,0.0,41.82,5.798687089715537,35.05586592178771,-17.49146757679181,0.31522803085209045,2026-05-21
2026-05-06,🔥 슈퍼 강력매수,💯 100%+ (2배),58.9,100,#DC2626,★★★ 도달 매우 유력,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+108% (대박),001740,SK네트웍스,KOSPI,6680.0,92250579560.0,3.61,2.62,107.8,36.8,58.9,71.6,81.0,90.9,4.3,0.368421052631579,0.5892351274787535,0.7157622739018088,0.8095975232198143,0.9085520724178525,0.04269336213003834,48.63,24.1635687732342,42.73504273504274,-11.170212765957444,0.12719378313764018,2026-05-06
2026-05-07,★ 강력매수,💯 100%+ (2배),56.6,100,#DC2626,★★★ 도달 매우 유력,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+99% (대상승),018880,한온시스템,KOSPI,4900.0,208172183100.0,3.6,2.6,99.0,36.8,56.6,67.6,80.5,89.1,1.5,0.368421052631579,0.5661862263012012,0.6755695952900892,0.8049933619846945,0.8910411622276029,0.01525573879859456,40.81,21.588089330024808,19.68734733756716,-14.035087719298245,-0.027913560081585694,2026-05-07
2026-05-12,🔥 슈퍼 강력매수,💯 100%+ (2배),58.8,100,#DC2626,★★★ 도달 매우 유력,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능,+88% (대상승),003530,한화투자증권,KOSPI,7610.0,55011799630.0,3.55,2.54,88.2,36.8,58.8,61.5,64.1,89.1,2.9,0.368421052631579,0.5879413825698795,0.614570838045707,0.6405228758169934,0.8910411622276029,0.028511780081406483,40.51,19.466248037676603,40.66543438077635,-26.116504854368927,0.07295331750418886,2026-05-12
2026-05-04,🔥 슈퍼 강력매수,💯 100%+ (2배),58.9,100,#DC2626,★★★ 도달 매우 유력,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+118% (대박),001740,SK네트웍스,KOSPI,6590.0,77115883450.0,3.48,2.54,117.9,36.8,58.9,71.6,81.0,90.9,8.5,0.368421052631579,0.5892351274787535,0.7157622739018088,0.8095975232198143,0.9094071687810998,0.08478305434837087,76.73,26.245210727969347,38.4453781512605,-3.088235294117647,0.09565078112709836,2026-05-04
2026-05-06,★ 강력매수,💯 100%+ (2배),51.7,100,#DC2626,★★★ 도달 매우 유력,⭐ 슈퍼위너후보 / 💯 100%+ 가능,+75% (대상승),028670,팬오션,KOSPI,5620.0,23988211300.0,3.11,2.29,74.7,28.1,51.7,67.4,81.0,89.1,0.0,0.28121903976073515,0.5168001728479809,0.6736842105263158,0.8095975232198143,0.8910411622276029,0.0,41.5,11.729622266401595,47.89473684210526,-14.848484848484844,0.14023653700308603,2026-05-06
2026-05-04,★ 강력매수,📈 50%+,67.4,50,#F97316,★★★ 도달 매우 유력,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능,+75% (대상승),028670,팬오션,KOSPI,5640.0,26313865560.0,3.1,2.28,74.9,28.8,49.5,67.4,81.0,89.1,0.0,0.28755458353178304,0.49479866924618277,0.6736842105263158,0.8095975232198143,0.8910411622276029,0.0,41.83,14.28571428571428,49.40397350993378,-14.54545454545455,0.1396558725764763,2026-05-04
2026-05-07,★ 강력매수,📈 50%+,68.8,50,#F97316,★★★ 도달 매우 유력,⭐ 슈퍼위너후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+76% (대상승),028670,팬오션,KOSPI,6030.0,76408704810.0,3.05,2.25,76.0,28.5,49.5,68.8,81.0,89.1,1.9,0.28517916087061473,0.49479866924618277,0.6875831872972951,0.8095975232198143,0.8910411622276029,0.018716854505055683,42.87,20.72072072072073,57.44125326370757,-8.636363636363631,0.15571634813891944,2026-05-07
2026-05-13,🔥 슈퍼 강력매수,📈 50%+,67.9,50,#F97316,★★★ 도달 매우 유력,⭐ 슈퍼위너후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+79% (대상승),028670,팬오션,KOSPI,6120.0,42393552120.0,2.95,2.18,79.2,27.1,45.9,67.9,81.0,89.1,0.0,0.2709582770845136,0.45904426717932223,0.6791002378079372,0.8095975232198143,0.8910411622276029,0.0,40.29,24.64358452138493,64.29530201342281,-7.272727272727275,0.18946014024136895,2026-05-13
